                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95648,                 2.0729,                 1.2696,                0.73981,                0.06452,                0.24545,                0.07319,                 1.5067,                 3.3647,                  2.045,                0.00042,                0.00042,                0.00042
                      2,                0.82831,                 1.2965,                 1.1508,                0.94983,                0.61077,                0.83345,                0.44958,                 1.3479,                  2.309,                 1.4481,              0.0008583,              0.0008583,              0.0008583
                      3,                0.86303,                 1.1324,                 1.1429,                0.86169,                0.90323,                 0.9081,                0.52374,                 1.3128,                 1.4542,                 1.7338,              0.0012949,              0.0012949,              0.0012949
                      4,                 0.8748,                 1.0851,                 1.1297,                0.74451,                0.87097,                0.84843,                0.50234,                 1.2677,                  1.548,                 1.5647,              0.0017297,              0.0017297,              0.0017297
                      5,                0.84052,                 1.0188,                 1.1365,                0.58359,                0.67742,                 0.5182,                0.23578,                 1.5136,                 1.9999,                 1.6062,              0.0019842,              0.0019842,              0.0019842
                      6,                0.92037,                 1.0448,                 1.1918,                0.57268,                0.60215,                0.60793,                0.31963,                 1.3699,                 1.8022,                 1.3979,              0.0019842,              0.0019842,              0.0019842
                      7,                0.81459,                0.90461,                 1.1157,                0.66858,                0.72043,                0.76755,                0.25847,                 1.7467,                 1.8405,                 1.8766,              0.0019802,              0.0019802,              0.0019802
                      8,                0.88548,                0.86136,                 1.1324,                0.61513,                0.64516,                0.56792,                0.20575,                 1.9568,                 3.5485,                 2.7382,              0.0019762,              0.0019762,              0.0019762
                      9,                0.80874,                0.80172,                 1.1081,                0.71597,                0.77419,                0.84261,                0.49903,                 1.2441,                 1.8825,                 1.5066,              0.0019723,              0.0019723,              0.0019723
                     10,                0.80509,                0.78196,                 1.0946,                0.89213,                0.88934,                0.91831,                0.67075,                0.88981,                0.84298,                 1.0581,              0.0019683,              0.0019683,              0.0019683
                     11,                0.84927,                0.75645,                 1.1131,                0.70539,                0.82386,                0.79836,                0.46226,                 1.0034,                 1.2706,                  1.119,              0.0019644,              0.0019644,              0.0019644
                     12,                0.84219,                0.72783,                 1.1065,                0.81933,                0.87775,                0.90582,                0.66221,                0.88958,                 1.0619,                 1.1318,              0.0019604,              0.0019604,              0.0019604
                     13,                0.80036,                0.70196,                 1.0967,                0.85395,                0.90323,                0.94302,                 0.5946,                0.96341,                 1.5512,                 1.1003,              0.0019564,              0.0019564,              0.0019564
                     14,                0.76645,                0.62468,                 1.0731,                0.92069,                0.94624,                0.97978,                0.80978,                 0.6644,                0.60749,                0.96912,              0.0019525,              0.0019525,              0.0019525
                     15,                 0.7031,                0.60047,                 1.0457,                0.58199,                 0.5839,                0.55545,                0.23773,                 1.3577,                  1.871,                  1.652,              0.0019485,              0.0019485,              0.0019485
                     16,                0.70229,                0.60711,                 1.0505,                0.90883,                0.96774,                0.97241,                0.74851,                0.64376,                0.70572,                0.94073,              0.0019446,              0.0019446,              0.0019446
                     17,                0.73367,                 0.6008,                 1.0701,                0.83046,                0.70968,                0.84405,                0.61604,                0.85603,                  0.879,                 1.0901,              0.0019406,              0.0019406,              0.0019406
                     18,                0.69183,                0.55143,                 1.0315,                 0.9283,                0.97452,                0.96449,                0.76557,                0.73178,                0.64405,                0.98563,              0.0019366,              0.0019366,              0.0019366
                     19,                0.70738,                0.56789,                 1.0591,                0.71052,                0.91398,                0.89362,                 0.5829,                  1.068,                 1.0975,                 1.2473,              0.0019327,              0.0019327,              0.0019327
                     20,                0.65414,                0.53277,                 1.0035,                 0.6163,                0.79447,                0.75578,                0.36475,                 1.7612,                 1.3419,                 1.8451,              0.0019287,              0.0019287,              0.0019287
                     21,                 0.7142,                 0.5417,                 1.0727,                0.97716,                0.92017,                0.98607,                 0.7492,                0.81889,                0.55297,                 1.0438,              0.0019248,              0.0019248,              0.0019248
                     22,                 0.6403,                0.49726,                  1.003,                0.64816,                0.73118,                0.71188,                0.37339,                 1.3622,                 1.3386,                 1.5033,              0.0019208,              0.0019208,              0.0019208
                     23,                0.73453,                0.56746,                 1.0847,                0.90898,                0.93548,                0.97408,                0.79433,                0.63522,                0.59624,                0.95639,              0.0019168,              0.0019168,              0.0019168
                     24,                0.67459,                0.52808,                 1.0228,                0.81616,                0.85925,                0.89143,                0.59405,                 1.2798,                0.89445,                 1.4338,              0.0019129,              0.0019129,              0.0019129
