                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.95648,                 2.0729,                 1.2696,                0.73981,                0.06452,                0.24545,                0.07319,                 1.5067,                 3.3647,                  2.045,                0.00042,                0.00042,                0.00042
                      2,                0.81624,                 1.2997,                 1.1389,                0.83904,                0.44844,                0.65042,                0.40074,                 1.3892,                 2.4364,                 1.5134,             0.00085716,             0.00085716,             0.00085716
                      3,                0.83525,                 1.1263,                 1.1275,                0.79206,                0.70968,                0.80981,                0.34624,                  1.893,                  1.973,                 2.1767,              0.0012914,              0.0012914,              0.0012914
                      4,                0.83296,                 1.0538,                 1.1129,                0.67677,                0.67742,                0.73355,                  0.418,                 1.3597,                 2.0043,                 1.5704,              0.0017228,              0.0017228,              0.0017228
                      5,                0.82255,                 1.0111,                 1.0996,                0.86212,                0.72043,                0.81939,                0.41757,                  1.625,                 1.6401,                 2.0203,              0.0019736,              0.0019736,              0.0019736
                      6,                0.92609,                 1.0526,                 1.1839,                0.84014,                0.90323,                0.90802,                0.56538,                 1.0757,                  1.266,                 1.3125,              0.0019736,              0.0019736,              0.0019736
                      7,                0.82981,                0.88549,                 1.1329,                0.88376,                0.82796,                0.91551,                0.65766,                 1.0753,                 1.0088,                 1.2776,               0.001967,               0.001967,               0.001967
                      8,                0.92386,                0.88706,                 1.1579,                0.91378,                0.76344,                 0.9161,                 0.6538,                0.91034,                 1.0737,                 1.1342,              0.0019604,              0.0019604,              0.0019604
                      9,                0.81204,                0.75747,                 1.0905,                0.79123,                0.81504,                0.88067,                0.62563,                0.92934,                 1.0269,                 1.1114,              0.0019538,              0.0019538,              0.0019538
                     10,                0.76393,                0.74006,                 1.0732,                0.73325,                0.82763,                0.85996,                0.44235,                   1.56,                 1.1194,                 1.7721,              0.0019472,              0.0019472,              0.0019472
                     11,                0.85778,                0.73288,                 1.1243,                0.59795,                 0.8172,                 0.7401,                0.36167,                 1.5322,                  1.372,                 1.5668,              0.0019406,              0.0019406,              0.0019406
                     12,                0.75965,                0.66129,                 1.0729,                0.89746,                0.95699,                0.95392,                0.62306,                0.92564,                 0.7541,                 1.1467,               0.001934,               0.001934,               0.001934
                     13,                0.76766,                0.65421,                 1.0918,                0.90744,                0.97849,                0.98333,                0.64644,                 1.0475,                0.97137,                 1.3262,              0.0019274,              0.0019274,              0.0019274
                     14,                0.73593,                0.59879,                 1.0481,                0.94418,                0.90948,                0.97307,                0.74825,                0.69764,                0.69994,                 0.9998,              0.0019208,              0.0019208,              0.0019208
                     15,                0.69927,                0.59299,                 1.0401,                0.95521,                0.93548,                0.96841,                0.75052,                0.82757,                0.62509,                   1.05,              0.0019142,              0.0019142,              0.0019142
                     16,                0.71288,                0.60121,                 1.0649,                0.76596,                0.91498,                0.90508,                0.61222,                 0.8667,                0.68394,                 1.1391,              0.0019076,              0.0019076,              0.0019076
                     17,                0.71412,                0.60001,                 1.0574,                0.91638,                0.97849,                0.95893,                0.68972,                0.90176,                0.61295,                 1.1556,               0.001901,               0.001901,               0.001901
                     18,                0.70386,                0.57555,                 1.0295,                0.90967,                 0.9746,                0.97927,                0.79992,                0.69795,                0.54622,                0.94302,              0.0018944,              0.0018944,              0.0018944
                     19,                0.73304,                0.58166,                 1.0585,                0.73545,                0.74734,                0.79121,                0.36264,                 1.5702,                 1.4601,                 1.4415,              0.0018878,              0.0018878,              0.0018878
                     20,                0.66401,                0.53245,                 1.0025,                0.88907,                0.95699,                0.92575,                0.59554,                 1.0402,                0.99498,                 1.3211,              0.0018812,              0.0018812,              0.0018812
                     21,                  0.702,                0.56224,                 1.0686,                0.79536,                0.82796,                0.88323,                 0.6986,                 0.7009,                0.75557,                0.96963,              0.0018746,              0.0018746,              0.0018746
                     22,                0.62199,                0.48474,                 0.9878,                0.90962,                0.97849,                0.97398,                0.68254,                0.99598,                0.83071,                 1.1455,               0.001868,               0.001868,               0.001868
                     23,                0.67819,                0.54107,                 1.0423,                0.97247,                0.96774,                0.98907,                0.77795,                 0.7972,                0.52249,                 1.0462,              0.0018614,              0.0018614,              0.0018614
                     24,                0.66203,                 0.5174,                 1.0256,                0.89036,                0.96059,                0.95852,                0.67357,                0.87623,                 0.6147,                 1.1852,              0.0018548,              0.0018548,              0.0018548
                     25,                0.63628,                 0.5029,                 1.0138,                0.97071,                0.84946,                 0.9703,                0.74648,                0.77876,                0.62319,                 1.0249,              0.0018482,              0.0018482,              0.0018482
                     26,                0.65547,                0.54578,                 1.0212,                0.85084,                0.85869,                0.93905,                0.67123,                0.83566,                0.71677,                 1.0379,              0.0018416,              0.0018416,              0.0018416
                     27,                0.62466,                 0.4977,                 1.0013,                0.90984,                0.92473,                0.96981,                0.75341,                0.78082,                0.66683,                 1.0073,               0.001835,               0.001835,               0.001835
                     28,                 0.6777,                0.52659,                 1.0394,                0.86802,                0.84863,                0.92447,                0.75416,                0.68719,                 0.8099,                0.96501,              0.0018284,              0.0018284,              0.0018284
                     29,                0.63635,                0.51576,                 1.0299,                 0.8407,                0.73774,                 0.8475,                 0.5889,                0.84141,                0.87109,                   1.08,              0.0018218,              0.0018218,              0.0018218
                     30,                0.63073,                0.49026,                 1.0057,                0.94337,                0.90323,                0.97036,                 0.8259,                0.59621,                0.52331,                0.91191,              0.0018152,              0.0018152,              0.0018152
                     31,                0.60267,                 0.4927,                0.99948,                0.91902,                0.96774,                  0.975,                   0.76,                0.84747,                0.48774,                 1.1407,              0.0018086,              0.0018086,              0.0018086
                     32,                0.63376,                0.49076,                 1.0119,                0.97078,                0.97849,                0.99353,                0.82814,                 0.6541,                0.43466,                0.94389,               0.001802,               0.001802,               0.001802
                     33,                0.59129,                0.45593,                0.99985,                0.94689,                0.93548,                0.97825,                0.70565,                0.90705,                0.72704,                 1.0662,              0.0017954,              0.0017954,              0.0017954
                     34,                0.63978,                0.48032,                  1.022,                0.98787,                0.98925,                0.99429,                  0.843,                0.62197,                0.40382,                0.92307,              0.0017888,              0.0017888,              0.0017888
