                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.49245,                0.38876,                0.94313,                0.98934,                0.99787,                0.99457,                0.88295,                0.51115,                0.35416,                0.87216,              0.0006536,              0.0006536,              0.0006536
                     37,                 0.4836,                0.36714,                0.95599,                0.97678,                0.98925,                0.99384,                0.86727,                0.55624,                0.37829,                0.89709,               0.000614,               0.000614,               0.000614
                     38,                0.44585,                0.35663,                0.92429,                0.96573,                0.97849,                0.98643,                0.84879,                0.57448,                0.37837,                0.91019,              0.0005744,              0.0005744,              0.0005744
                     39,                0.48901,                0.37315,                0.96309,                0.98893,                0.98925,                0.99291,                0.86688,                0.54665,                0.34643,                0.87283,              0.0005348,              0.0005348,              0.0005348
                     40,                0.48106,                 0.3695,                0.94886,                0.98805,                0.96774,                0.99367,                0.89018,                 0.4847,                0.33359,                 0.8474,              0.0004952,              0.0004952,              0.0004952
                     41,                0.34544,                0.30269,                0.85599,                0.97628,                0.98925,                0.99373,                0.87218,                0.55495,                0.34196,                0.87834,              0.0004556,              0.0004556,              0.0004556
                     42,                0.33932,                0.27453,                  0.861,                0.88013,                0.96774,                0.96292,                 0.7918,                0.67982,                0.48363,                0.98458,               0.000416,               0.000416,               0.000416
                     43,                0.32278,                0.25678,                0.84697,                0.89734,                0.98925,                0.97697,                0.75664,                0.75626,                0.54772,                 1.0716,              0.0003764,              0.0003764,              0.0003764
                     44,                0.30412,                0.25248,                0.82409,                0.94717,                0.98925,                0.99271,                0.85316,                0.58744,                0.35712,                0.99669,              0.0003368,              0.0003368,              0.0003368
                     45,                0.29708,                0.23841,                0.82534,                0.96837,                 0.9876,                0.99237,                0.84717,                0.63399,                0.35525,                 1.0121,              0.0002972,              0.0002972,              0.0002972
                     46,                0.30144,                0.24887,                   0.84,                0.94782,                0.98925,                0.99116,                0.84812,                0.64546,                0.38711,                 1.0033,              0.0002576,              0.0002576,              0.0002576
                     47,                0.28876,                0.22665,                0.83997,                0.96821,                0.98255,                0.98894,                0.86213,                0.59398,                0.38733,                0.94682,               0.000218,               0.000218,               0.000218
                     48,                 0.2763,                0.21981,                 0.8172,                0.97622,                0.96774,                0.98992,                0.86739,                0.54608,                0.38802,                0.92526,              0.0001784,              0.0001784,              0.0001784
                     49,                0.27109,                0.21626,                0.81835,                0.98909,                0.97474,                0.98937,                0.87532,                0.52163,                 0.3628,                0.91062,              0.0001388,              0.0001388,              0.0001388
                     50,                0.27301,                0.20694,                0.80791,                0.98765,                0.98925,                0.99135,                0.88412,                0.51602,                0.32524,                0.92288,               9.92e-05,               9.92e-05,               9.92e-05
